row_id,Product,Subsystem,SystemElement,Function,FailureMode,FailureCause,FailureEffect,PreventiveMeasure,DetectiveMeasure,SeverityRating,OccurrenceRating,DetectionRating
240,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Opens at a desired opening pressure,Not opening at the desired pressure,Pressure fluctuation from the lubrication system,Main bearing failure,,,,,
241,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Opens at a desired opening pressure,Not opening at the desired pressure,Vibration,Main bearing failure,,,,,
242,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,Crankcase design,Piston seizure,,,,,
243,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure,,,,,
244,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,Carbon deposit from oil,Piston seizure,,,,,
245,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,Check-Valve design,Piston seizure,,,,,
246,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,Geometry tolerances,Piston seizure,,,,,
247,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,"Incorrect maintenance activity (alignment, bolted joint)",Piston seizure,,,,,
248,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,Not machined to spec,Piston seizure,,,,,
249,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,Nozzle holder,Piston seizure,,,,,
250,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,Nozzle wear,Piston seizure,,,,,
251,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,PCJN design,Piston seizure,,,,,
252,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,Piston gallery design,Piston seizure,,,,,
253,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Too little oil,Pressure fluctuation from the lubrication system,Piston seizure,,,,,
254,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,Crankcase design,Piston seizure,,,,,
255,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure,,,,,
256,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,Carbon deposit from oil,Piston seizure,,,,,
257,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,Check-Valve design,Piston seizure,,,,,
258,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,Geometry tolerances,Piston seizure,,,,,
259,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,"Incorrect maintenance activity (alignment, bolted joint)",Piston seizure,,,,,
260,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,Not machined to spec,Piston seizure,,,,,
261,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,Nozzle holder,Piston seizure,,,,,
262,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,Nozzle wear,Piston seizure,,,,,
263,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,PCJN design,Piston seizure,,,,,
264,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,Piston gallery design,Piston seizure,,,,,
265,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),No oil,Pressure fluctuation from the lubrication system,Piston seizure,,,,,
266,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,Crankcase design,Piston scuff,,,,,
267,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,"Assembly process / Design for assembly (alignment, bolted joint)",Piston scuff,,,,,
268,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,Carbon deposit from oil,Piston scuff,,,,,
269,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,Check-Valve design,Piston scuff,,,,,
270,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,Geometry tolerances,Piston scuff,,,,,
271,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,"Incorrect maintenance activity (alignment, bolted joint)",Piston scuff,,,,,
272,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,Not machined to spec,Piston scuff,,,,,
273,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,Nozzle holder,Piston scuff,,,,,
274,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,Nozzle wear,Piston scuff,,,,,
275,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,PCJN design,Piston scuff,,,,,
276,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,Piston gallery design,Piston scuff,,,,,
277,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Intermittent oil,Pressure fluctuation from the lubrication system,Piston scuff,,,,,
278,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to piston,Crankcase design,Piston seizure,,,,,
279,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to piston,"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure,,,,,
280,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to piston,Geometry tolerances,Piston seizure,,,,,
281,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to piston,"Incorrect maintenance activity (alignment, bolted joint)",Piston seizure,,,,,
282,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to piston,Not machined to spec,Piston seizure,,,,,
283,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to piston,Nozzle holder,Piston seizure,,,,,
284,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to piston,PCJN design,Piston seizure,,,,,
285,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to piston,Piston,Piston seizure,,,,,
286,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to crankshaft,Crankcase design,Piston seizure,,,,,
287,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to crankshaft,"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure,,,,,
288,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to crankshaft,Crankshaft,Piston seizure,,,,,
289,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to crankshaft,Geometry tolerances,Piston seizure,,,,,
290,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to crankshaft,"Incorrect maintenance activity (alignment, bolted joint)",Piston seizure,,,,,
291,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to crankshaft,Not machined to spec,Piston seizure,,,,,
292,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to crankshaft,Nozzle holder,Piston seizure,,,,,
293,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Directs oil to the piston gallery (e.g. bundling),Contact to crankshaft,PCJN design,Piston seizure,,,,,
294,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to piston,Crankcase design,Piston seizure,,,,,
295,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to piston,"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure,,,,,
296,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to piston,Geometry tolerances,Piston seizure,,,,,
297,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to piston,"Incorrect maintenance activity (alignment, bolted joint)",Piston seizure,,,,,
298,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to piston,Not machined to spec,Piston seizure,,,,,
299,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to piston,Nozzle holder,Piston seizure,,,,,
300,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to piston,PCJN design,Piston seizure,,,,,
301,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to piston,Piston,Piston seizure,,,,,
302,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to crankshaft,Crankcase design,Piston seizure,,,,,
303,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to crankshaft,"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure,,,,,
304,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to crankshaft,Crankshaft,Piston seizure,,,,,
305,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to crankshaft,Geometry tolerances,Piston seizure,,,,,
306,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to crankshaft,"Incorrect maintenance activity (alignment, bolted joint)",Piston seizure,,,,,
307,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to crankshaft,Not machined to spec,Piston seizure,,,,,
308,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to crankshaft,Nozzle holder,Piston seizure,,,,,
309,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Clearance to all neighboring systems,Contact to crankshaft,PCJN design,Piston seizure,,,,,
310,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Close at the desired pressure (minimize hysteresis),Closes not at the desired pressure,"Assembly process / Design for assembly (alignment, bolted joint)",Fluctuation of the oil flow rate to the piston,,,,,
311,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Close at the desired pressure (minimize hysteresis),Closes not at the desired pressure,Carbon deposit from oil,Fluctuation of the oil flow rate to the piston,,,,,
312,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Close at the desired pressure (minimize hysteresis),Closes not at the desired pressure,Check-Valve design,Fluctuation of the oil flow rate to the piston,,,,,
313,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Close at the desired pressure (minimize hysteresis),Closes not at the desired pressure,Check-Valve wear,Fluctuation of the oil flow rate to the piston,,,,,
314,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Close at the desired pressure (minimize hysteresis),Closes not at the desired pressure,Cleanliness,Fluctuation of the oil flow rate to the piston,,,,,
315,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Close at the desired pressure (minimize hysteresis),Closes not at the desired pressure,Geometry tolerances,Fluctuation of the oil flow rate to the piston,,,,,
316,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Close at the desired pressure (minimize hysteresis),Closes not at the desired pressure,Not machined to spec,Fluctuation of the oil flow rate to the piston,,,,,
317,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Close at the desired pressure (minimize hysteresis),Closes not at the desired pressure,Nozzle holder,Fluctuation of the oil flow rate to the piston,,,,,
318,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Close at the desired pressure (minimize hysteresis),Closes not at the desired pressure,Pressure fluctuation from the lubrication system,Fluctuation of the oil flow rate to the piston,,,,,
319,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Close at the desired pressure (minimize hysteresis),Closes not at the desired pressure,Vibration,Fluctuation of the oil flow rate to the piston,,,,,
320,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Contact to crankcase,Liner contact disruption at top,"Transient engine operation (start up, cool down)",Liner landing surface damage,,,,,
321,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Contact to crankcase,Liner contact disruption at top,Assembly process / Design for assembly,Liner landing surface damage,,,,,
322,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Contact to crankcase,Liner contact disruption at top,Bolted joint design,Liner landing surface damage,,,,,
323,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Contact to crankcase,Liner contact disruption at top,"Liner landing design (geometry, roughness, etc.)",Liner landing surface damage,,,,,
324,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Contact to crankcase,Liner contact disruption at top,Geometry tolerances / wrong tolerance specification ,Liner landing surface damage,,,,,
325,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Coolant leakage to oil pan,"Liner landing design (geometry, roughness, etc.)",Oil contamination would lead to engine shutdown,,,,,
326,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at bottom,"Transient engine operation (start up, cool down)",Liner landing surface damage,,,,,
327,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at bottom,Assembly process / Design for assembly,Liner landing surface damage,,,,,
328,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at bottom,Bolted joint design,Liner landing surface damage,,,,,
329,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at bottom,"Liner landing design (geometry, roughness, etc.)",Liner landing surface damage,,,,,
330,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at bottom,Geometry tolerances / wrong tolerance specification ,Liner landing surface damage,,,,,
331,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at bottom,Part is not machined to spec,Liner landing surface damage,,,,,
332,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at top,"Transient engine operation (start up, cool down)",Liner landing surface damage,,,,,
333,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at top,Assembly process / Design for assembly,Liner landing surface damage,,,,,
334,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at top,Bolted joint design,Liner landing surface damage,,,,,
335,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at top,"Liner landing design (geometry, roughness, etc.)",Liner landing surface damage,,,,,
336,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at top,Geometry tolerances / wrong tolerance specification ,Liner landing surface damage,,,,,
337,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Clearance to crankcase,Liner contact disruption at top,Part is not machined to spec,Liner landing surface damage,,,,,
338,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Insufficient flow distribution / flow rate,Coolant flow route design (geometry & material) | Water jacket design,Engine stop because of engine damage,,,,,
339,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Insufficient flow distribution / flow rate,Coolant system pressure,Engine stop because of engine damage,,,,,
340,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Inadequate heat transfer,Coolant flow route design (geometry & material) | Water jacket design,Engine stop because of engine damage,,,,,
341,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Inadequate heat transfer,Coolant aging,Engine stop because of engine damage,,,,,
342,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Inadequate heat transfer,Deposit build up (coolant),Engine stop because of engine damage,,,,,
343,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Inadequate heat transfer,Wrong coolant maintenance,Engine stop because of engine damage,,,,,
344,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Inadequate heat transfer,Temperature of coolant too high,Engine stop because of engine damage,,,,,
345,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Insufficient degassing,Coolant flow route design (geometry & material) | Water jacket design,Engine stop because of engine damage,,,,,
346,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Insufficient degassing,Coolant system pressure,Engine stop because of engine damage,,,,,
347,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Insufficient degassing,Wrong coolant maintenance,Engine stop because of engine damage,,,,,
348,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Coolant leaks into crankcase over time,O-Ring aging,Oil contamination would lead to engine shutdown,,,,,
349,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Coolant leaks into crankcase over time,O-Ring design,Oil contamination would lead to engine shutdown,,,,,
350,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Coolant leaks into crankcase over time,Part is not machined to spec,Oil contamination would lead to engine shutdown,,,,,
351,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Coolant leaks through CH-liner interface over time,"Liner landing design (geometry, roughness, etc.)",Leakage to environment,,,,,
352,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Coolant leaks through CH-liner interface over time,Geometry tolerances / wrong tolerance specification,Leakage to environment,,,,,
353,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide coolant flow route to liner and cylinder head,Coolant leaks through CH-liner interface over time,Part is not machined to spec,Leakage to environment,,,,,
354,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing of coolant jacket,Coolant leaks into crankcase over time,O-Ring aging,Oil contamination would lead to engine shutdown,,,,,
355,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing of coolant jacket,Coolant leaks into crankcase over time,O-Ring design,Oil contamination would lead to engine shutdown,,,,,
356,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing of coolant jacket,Coolant leaks into crankcase over time,Part is not machined to spec,Oil contamination would lead to engine shutdown,,,,,
357,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing of coolant jacket,Coolant leaks to through CH-liner interface over time,"Liner landing design (geometry, roughness, etc.)",Leakage to environment,,,,,
358,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing of coolant jacket,Coolant leaks to through CH-liner interface over time,Geometry tolerances / wrong tolerance specification,Leakage to environment,,,,,
359,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing of coolant jacket,Coolant leaks to through CH-liner interface over time,Part is not machined to spec,Leakage to environment,,,,,
360,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Containment of combustion gases,Not enough containment of combustion gases,"Liner landing design (geometry, roughness, etc.)",Coolant leakage into combustion chamber,,,,,
361,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Containment of combustion gases,Not enough containment of combustion gases,Coolant flow route design (geometry & material) | Water jacket design,Coolant leakage into combustion chamber,,,,,
362,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Containment of combustion gases,Not enough containment of combustion gases,"Liner design (geometry, material etc.)",Coolant leakage into combustion chamber,,,,,
363,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Containment of combustion gases,Cavitation failure,Geometry tolerances / wrong tolerance specification ,Coolant leakage into combustion chamber,,,,,
364,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Transmit heat to water jacket,Too less heat transmission / High liner wall temperature,Coolant flow route design (geometry & material) | Water jacket design,Engine stop because of engine damage,,,,,
365,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Transmit heat to water jacket,Too less heat transmission / High liner wall temperature,Coolant system pressure,Engine stop because of engine damage,,,,,
366,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Transmit heat to water jacket,Too less heat transmission / High liner wall temperature,Temperature of coolant too high,Engine stop because of engine damage,,,,,
367,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Transmit heat to water jacket,Too less heat transmission / High liner wall temperature,"Liner design (geometry, material etc.)",Engine stop because of engine damage,,,,,
368,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Transmit heat to water jacket,Too less heat transmission / High liner wall temperature over time,Coolant flow route design (geometry & material) | Water jacket design,Engine stop because of engine damage,,,,,
369,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Transmit heat to water jacket,Too less heat transmission / High liner wall temperature over time,Coolant system pressure,Engine stop because of engine damage,,,,,
370,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Transmit heat to water jacket,Too less heat transmission / High liner wall temperature over time,Coolant aging,Engine stop because of engine damage,,,,,
371,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Transmit heat to water jacket,Too less heat transmission / High liner wall temperature over time,Wrong coolant maintenance,Engine stop because of engine damage,,,,,
372,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Transmit heat to water jacket,Too less heat transmission / High liner wall temperature over time,Temperature of coolant too high,Engine stop because of engine damage,,,,,
373,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Transmit heat to water jacket,Too less heat transmission / High liner wall temperature over time,"Liner design (geometry, material etc.)",Engine stop because of engine damage,,,,,
374,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide structural support to APR,High THC emissions over time,Geometry tolerances / wrong tolerance specification,Emission regulations are not met,,,,,
375,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide structural support to APR,High THC emissions over time,"Liner design (geometry, material etc.)",Emission regulations are not met,,,,,
376,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide structural support to APR,High THC emissions over time,APR design,Emission regulations are not met,,,,,
377,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing between cylinder gasket and liner,Leakage of combustion gases,Assembly process / Design for assembly,Combustion gas is exiting (combustion chamber),,,,,
378,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing between cylinder gasket and liner,Leakage of combustion gases,Bolted joint design,Combustion gas is exiting (combustion chamber),,,,,
379,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing between cylinder gasket and liner,Leakage of combustion gases,"Liner design (geometry, material etc.)",Combustion gas is exiting (combustion chamber),,,,,
380,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing between cylinder gasket and liner,Leakage of combustion gases,Gasket design,Combustion gas is exiting (combustion chamber),,,,,
381,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing between cylinder gasket and liner,Leakage of combustion gases,Wrong maintenance,Combustion gas is exiting (combustion chamber),,,,,
382,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing between cylinder gasket and liner,High THC emissions over time,Geometry tolerances / wrong tolerance specification,Emission regulations are not met,,,,,
383,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing between cylinder gasket and liner,High THC emissions over time,"Liner design (geometry, material etc.)",Emission regulations are not met,,,,,
384,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing between cylinder gasket and liner,High THC emissions over time,Gasket design,Emission regulations are not met,,,,,
385,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing between cylinder gasket and liner,High THC emissions over time,Wrong maintenance,Emission regulations are not met,,,,,
386,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Sealing between cylinder gasket and liner,High THC emissions over time,Deposit build up (oil),Emission regulations are not met,,,,,
387,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between gasket and liner,Assembly process / Design for assembly,Engine shutdown due to liner crack,,,,,
388,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between gasket and liner,Bolted joint design,Engine shutdown due to liner crack,,,,,
389,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between gasket and liner,Geometry tolerances / wrong tolerance specification,Engine shutdown due to liner crack,,,,,
390,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between gasket and liner,Part is not machined to spec,Engine shutdown due to liner crack,,,,,
391,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between gasket and liner,"Liner design (geometry, material etc.)",Engine shutdown due to liner crack,,,,,
392,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between gasket and liner,Gasket design,Engine shutdown due to liner crack,,,,,
393,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between gasket and liner,Wrong maintenance,Engine shutdown due to liner crack,,,,,
394,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between head and gasket,Assembly process / Design for assembly,Combustion gas is exiting (combustion chamber),,,,,
395,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between head and gasket,Bolted joint design,Combustion gas is exiting (combustion chamber),,,,,
396,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between head and gasket,"Liner landing design (geometry, roughness, etc.)",Combustion gas is exiting (combustion chamber),,,,,
397,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between head and gasket,Geometry tolerances / wrong tolerance specification,Combustion gas is exiting (combustion chamber),,,,,
398,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between head and gasket,Part is not machined to spec,Combustion gas is exiting (combustion chamber),,,,,
399,Gas Engine Type 4,Engine Block,Cylinder liner assembly,Provide load path from CH to crankcase,Insufficient contact between head and gasket,Gasket design,Combustion gas is exiting (combustion chamber),,,,,
