failure_cause,analysis_decision
Casting tolerances (Crankcase),"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' with subsystem 'Engine Block' and system element 'Crankcase' with failure mode 'Flow disturbance of gas to cylinder' caused by 'Casting tolerances (Crankcase)'. The retrieved context provides measures primarily for 'Gas Engine Type 4' with subsystem 'Engine Block' but related to a similar failure mode ('Flow disturbance of gas to cylinder') caused by 'Casting tolerances (Crankcase)' though mostly on the V-room insulation element. Since Crankcase is a core component related to casting tolerances influencing flow, and the failure cause and mode match, the preventive and detective measures from retrieved data are applicable. Although system element differs slightly ('Crankcase' vs 'V-room insulation'), the function and failure cause are the same and product categories are the same (Gas Engines), making it a similar context where measures are transferable and still relevant. Some additional relevant measures from 'Crankcase design' related to flow disturbance and their preventive/detective methods, e.g. design acc. to specification, tolerances, RAIP, FPQ etc. are included for completeness."
"Transient engine operation (start up, cool down)","SIMILAR_CONTEXT because the target failure mode 'Flow disturbance of gas to cylinder' and failure cause 'Transient engine operation (start up, cool down)' on the system element 'Crankcase' in 'Gas Engine Type 6' engine block subsystem is closely related in function and failure type to the retrieved data for 'V-room insulation' in 'Gas Engine Type 4'. Although the system element differs slightly, the system element 'Crankcase' is integral to the gas flow path, and the failure cause and mode are effectively the same, just in similar but not identical components in the same engine block subsystem and product category. The preventive and detective measures for the cause in 'V-room insulation' and related mentions in the crankcase context can be transferred and adapted without contradiction. No new measures beyond retrieved data are created, only transfer and verified applicability."
Combustion system,"SIMILAR_CONTEXT - The target system is 'Gas Engine Type 6' with the 'Crankcase' element in the 'Engine Block' subsystem, focused on directing/leads Air/Gas/Mixture to cylinder head assembly with failure mode 'Flow disturbance of gas to cylinder' caused by 'Combustion system'. The retrieved context data matches exactly the combination of system element function, failure mode, and failure cause but comes from a different product model 'Gas Engine Type 4' and for a closely related but differently named component ('V-room insulation') within the same subsystem and product category. Given the functional similarity (directing gas to cylinder head) and identical failure mode and cause, preventive and detective measures from the retrieved data are applicable after verifying conceptual validity for 'Crankcase' within the airflow path. Therefore, relevant preventive and detective measures related to 'Combustion system' influence on flow disturbance to cylinder from Gas Engine Type 4's Engine Block subsystem are transferable to the target Gas Engine Type 6's Crankcase element."
Bolted joint design,"SIMILAR_CONTEXT because target system is Gas Engine Type 6, different product within the same product category (Gas Engines), same subsystem (Engine Block), same system element (Crankcase), same function (Contact to CCV system), same failure mode (Lack of sealing), and same failure cause (Bolted joint design) as multiple retrieved entries for Gas Engine Type 4 with contact to CCV (blow-by) system; therefore preventive and detective measures from Gas Engine Type 4 with identical failure cause and mode are applicable and transferred."
Liquid sealing degradation caused by chemical or thermal aging,"SIMILAR_CONTEXT: The target system is a Gas Engine Type 6 with subsystem 'Engine Block' and system element 'Crankcase' concerned with 'Contact to CCV (blow-by) system' function. The failure mode 'Lack of sealing' with failure cause 'Liquid sealing degradation caused by chemical or thermal aging' is conceptually equivalent to failure modes in the retrieved data such as 'Degradation of sealing over time' and 'Oil leakage over time' affecting sealing functions of crankcase or related engine block components in 'Gas Engine Type 4'. Despite non-exact product match (Type 6 vs Type 4), the subsystem, system element, function, failure mode and cause context are similar and measures transferred from similar failure causes in the same product category and subsystem are applicable and technically relevant. No direct measures for 'Liquid sealing degradation caused by chemical or thermal aging' were found, but 'Liquid sealing degradation' and 'O-Ring aging' and 'Sealant / Gasket aging' failure causes were covered in context with preventive and detective measures fitting the aging degradation failure cause type."
Assembly process errors or insufficient design for assembly readiness causing sealing faults or gaps,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' with subsystem 'Engine Block', system element 'Crankcase', function 'Contact to CCV (blow-by) system', failure mode 'Leakage of blow-by gas' caused by 'Assembly process errors or insufficient design for assembly readiness causing sealing faults or gaps'. Retrieved data includes closely related failure modes such as 'Leakage of blow-by gas over time' and 'Blow-by leakage (or the other way around)' with failure causes strongly related to assembly process and design for assembly. These data come from 'Gas Engine Type 4' in the same product category (gas engines) and subsystem (Engine Block) with system elements related to crankcase sealing and CCV blow-by systems. Measures related to 'Assembly process / Design for assembly' and 'Crankcase design' with sealing faults are applicable and transferable with naming variations to the target context. No exact match exists but the similarity and relevance allow for reliable transfer of measures that address assembly errors and design for assembly preventing sealing faults causing leakage. Preventive and detective measures from those failure causes in the closest contexts are therefore utilized."
Crankcase design shortcomings such as improper sealing surface or tolerances,"SIMILAR_CONTEXT: The target system (Gas Engine Type 6, Engine Block, Crankcase, function: Contact to CCV (blow-by) system, failure mode: Leakage of blow-by gas, failure cause: Crankcase design shortcomings) matches the system element (Crankcase) and failure cause (Crankcase design) from Gas Engine Type 4 engine block subsystem contexts involving leakage-related failure modes (Leakage crankcase (outside), System pressure exceeding limits leading to leakages, and Oil leakage). Although the exact failure mode 'Leakage of blow-by gas' is not directly found, the similar failure modes related to crankcase leakage caused by design shortcomings provide directly applicable preventive and detective measures that remain technically valid for the target context within the same product category and subsystem."
CCV (blow-by) system design flaws including interface mismatches or improper routing,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' with subsystem 'Engine Block' and system element 'Crankcase' involves the function 'Contact to CCV (blow-by) system' with failure mode 'Leakage of blow-by gas' caused by 'CCV (blow-by) system design flaws including interface mismatches or improper routing'. The retrieved data is from 'Gas Engine Type 4', same subsystem and closely related system element 'CCV (blow-by) system' which interfaces directly with crankcase ventilation. Failure cause 'CCV (blow-by) system design' and failure mode 'Leakage of blow-by gas' in the same functional environment enable transfer of the provided measures. The measures remain applicable as the system element interfaces overlap and failure cause matches closely. Therefore, preventive and detective measures from the context of 'CCV (blow-by) system design' causing 'Leakage of blow-by gas' in Gas Engine Type 4 are used for the target context."
Piping design issues causing improper sealing or mechanical stresses,"SIMILAR_CONTEXT because the target system is Gas Engine Type 6 and subsystem is Engine Block with system element Crankcase; failure mode Leakage of blow-by gas is closely related and failure cause 'Piping design issues causing improper sealing or mechanical stresses' is functionally equivalent to 'Piping design' failure cause in retrieved data for Gas Engine Type 4 and Engine Block subsystem, related to blow-by gas leakage. Although the exact product is different (Type 6 vs Type 4), the system element (Crankcase/piping), failure mode and cause are technically analogous within the same product category and subsystem context, allowing transfer and application of these measures with relevance and validity."
"Gasket & O-Ring design inadequacies such as wrong material, size or hardness","SIMILAR_CONTEXT because the target system 'Gas Engine Type 6' with subsystem 'Engine Block', system element 'Crankcase', function 'Contact to CCV (blow-by) system', failure mode 'Leakage of blow-by gas' and failure cause 'Gasket & O-Ring design inadequacies such as wrong material, size or hardness' closely matches failure modes and causes documented for 'Gas Engine Type 4' in the 'Engine Block' subsystem, specifically related to 'Leakage of blow-by gas' or 'Leakage of blow-by gas over time' with cause 'Gasket & O-Ring design'. Despite minor naming variations and slightly different engine type, the measures from the retrieved data are fully applicable and technically correct to prevent and detect this failure cause in the given subsystem and element."
Aging of O-Rings reducing elasticity and sealing capability,"EXACT_MATCH because the target failure context matches exactly with failure cause 'O-Ring aging' in 'Crankcase' contacting the CCV (blow-by) system with failure mode 'Leakage of blow-by gas over time' and failure cause 'Aging of O-Rings reducing elasticity and sealing capability' within Gas Engine type 6, Engine Block subsystem. The retrieved data contains exact matches for 'O-Ring aging' causing 'Degradation of sealing over time' and 'Leakage of blow-by gas over time' in similar crankcase subsystem components of Gas Engine Type 4, which is from the same product category and subsystem context. Measures from these exact/similar matches are fully applicable and technically consistent."
"Maintenance neglect of oil, filter, or oil level affecting sealing integrity","SIMILAR_CONTEXT: The target failure cause 'Maintenance neglect of oil, filter, or oil level affecting sealing integrity' in the 'Crankcase' of the 'Engine Block' subsystem with failure mode 'Leakage of blow-by gas over time' is highly similar to retrieved failure cause 'Maintenance (oil & filter & oil level)' in the 'Crankcase' or 'CCV (blow-by) system' within the same product category (Gas Engine series) and subsystem. Although the exact nomenclature varies slightly, the function and failure cause context align well enough to consider preventive and detective measures transferable from the retrieved data related to 'Maintenance (oil & filter & oil level)' for leakage or blow-by gas leakage failure modes. Measures specifically targeting maintenance neglect of oil, filter, or oil level issues are directly applicable and have been adopted from the retrieved context data for failure cause 'Maintenance (oil & filter & oil level)' across similar failure modes related to blow-by gas leakage and sealing integrity deterioration."
"Transient engine operational conditions (startup, cooldown) causing material movement or deformation","SIMILAR_CONTEXT: The target failure mode 'Blocking of gas flow path to filter' and failure cause 'Transient engine operational conditions (startup, cooldown) causing material movement or deformation' in the 'Crankcase' element of the 'Engine Block' subsystem in 'Gas Engine Type 6' closely matches failure modes and causes in the 'CCV (blow-by) system' element within the same subsystem and product category (Gas Engine Type 4), specifically failure modes related to 'Blocking of gas flow path to filter' and failure cause 'Transient engine operation (start up, cool down)'. Although system element names vary (Crankcase vs. CCV system), their functional linkage concerning blow-by gas flow and transient operation effects is analogous, making measures transferable and relevant."
Power unit operational parameters causing excessive crankcase pressure,"SIMILAR_CONTEXT: The target is a Gas Engine Type 6 with failure mode 'System pressure exceeding limits leading to leakages' in the Crankcase element of the Engine Block subsystem, related to the CCV (blow-by) system interface. The retrieved data is from Gas Engine Type 4, Engine Block, CCV (blow-by) system, same subsystem context, similar system element function and identical failure mode and cause ('Power unit operational parameters causing excessive crankcase pressure') with naming variations (Power unit). Hence, applicable preventive and detective measures from Gas Engine Type 4 are transferred with validation that measures remain relevant for Type 6. The failure cause 'Power unit' and failure mode match sufficiently to adopt measures directly from the retrieved context. Measures specific to other failure causes or different failure modes are excluded per requirements."
Crankcase design limitations failing to withstand pressure spikes,EXACT_MATCH because the target system context matches the failure mode 'System pressure exceeding limits leading to leakages' in the 'Crankcase' of the 'Engine Block' subsystem of a Gas Engine type (Gas Engine Type 6 vs Gas Engine Type 4 is acceptable in the same product category) and the failure cause 'Crankcase design' is explicitly covered in the retrieved context. The measures specifically address the failure cause in the same system element and failure mode context.
O-Ring aging and degradation,"SIMILAR_CONTEXT because the target system is 'Gas Engine Type 6' while the retrieved data is for 'Gas Engine Type 4', however the subsystem (Engine Block), system element (Crankcase), function (Contact to CCV blow-by system), failure mode (Oil leakage over time) and failure cause (O-Ring aging and degradation) match closely or are synonymous with failure causes labeled 'O-Ring aging' and failure modes related to 'Degradation of sealing over time' and 'Oil leakage over time' in the context of crankcase sealing against oil leaks. The function 'contact to CCV blow-by system' and the cause are sufficiently close to apply these measures with technical applicability confirmed. Measures are transferred accordingly."
Design for maintenance inadequacies restricting access or complex assembly,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' with subsystem 'Engine Block', system element 'Crankcase', function 'Contact to CCV (blow-by) system', failure mode 'Poor serviceability', failure cause 'Design for maintenance inadequacies restricting access or complex assembly'. Exact matches in the retrieved data exist for 'Gas Engine Type 4', subsystem 'Engine Block', component related to CCV (blow-by) system and failure mode 'Poor serviceability' with failure cause 'Design for maintenance'. The system element naming differs slightly ('Crankcase' in target vs 'CCV (blow-by) system' component in retrieval), but the functional context and failure cause strongly match as design for maintenance affecting serviceability at the CCV interface. The product category, subsystem context, failure mode and cause are sufficiently similar to transfer measures typical for design for maintenance failures influencing serviceability and maintenance effort at CCV interfaces."
Assembly process complexity leading to difficult repairs or inspections,"SIMILAR_CONTEXT because the target system is Gas Engine Type 6 with Engine Block subsystem and Crankcase element contacting CCV system, failure mode 'Poor serviceability' and failure cause 'Assembly process complexity leading to difficult repairs or inspections'. Retrieved data includes exact failure mode ('Poor serviceability'), failure cause ('Assembly process / Design for assembly'), similar subsystem (Engine Block), similar system element function (CCV (blow-by) system interface) but on Gas Engine Type 4. The failure cause 'Assembly process / Design for assembly' is directly applicable and relevant preventive and detective measures given the similarity in product category, subsystem, element, failure mode and failure cause. Therefore, these measures are transferred and adopted without modification."
Bolted joint design,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' closely matches the retrieved context of 'Gas Engine Type 4' with the same subsystem 'Engine Block', same system element 'Crankcase', same function, identical failure mode 'Oil/gas leakage between V-room and crankcase main bore room', and same failure cause 'Bolted joint design'. Despite the product type difference (Type 6 vs Type 4), the high similarity in system structure and failure details justifies transferring measures. All preventive and detective measures from the retrieved data are applicable without modification."
Intake manifold and V-room design,"SIMILAR_CONTEXT because the Product differs slightly (Gas Engine Type 6 vs. Gas Engine Type 4) but Subsystem (Engine Block), System Element (Crankcase), Function (Contact to V-room isolation Crankcase provides support to V-room structure), Failure Mode (Oil/gas leakage between V-room and crankcase main bore room), and Failure Cause (Intake manifold and V-room design) match from retrieved context. The gas engine family and subsystem design are closely related, making the measures applicable with confirmation of relevance."
Bolted joint design,"SIMILAR_CONTEXT because the target system is Gas Engine Type 6 with the exact same subsystem (Engine Block), system element (Crankcase), function, failure mode, and failure cause as many entries retrieved from Gas Engine Type 4. The product differs only in engine type version but remains within the same product category (gas engines) and subsystem context. The failure effect is also exactly the same (engine damage due to loose bolt). Therefore, preventive and detective measures from the Gas Engine Type 4 context directly apply and are technically valid without modification."
Intake manifold and V-room design,"SIMILAR_CONTEXT because the target system 'Gas Engine Type 6' is a different product version but within the same product category (Gas Engine) and has exactly the same subsystem (Engine Block), system element (Crankcase), function, failure mode, and failure cause ('Intake manifold and V-room design') as provided in retrieved data from Gas Engine Type 4. Thus, applicable preventive and detective measures on crankcase leakage caused by intake manifold and V-room design in Gas Engine Type 4 are relevant and transferable to Gas Engine Type 6. Measures related to the failure effect 'Engine damage due to loose bolt' specifically match the failure mode and cause combination and can be used."
Bolted joint design,"SIMILAR_CONTEXT: The target system (Gas Engine Type 6) and retrieved context system (Gas Engine Type 4) share the same product category (gas engines), subsystem (Engine Block), system element (Crankcase), function (Contact to V-room isolation, Crankcase provides support to V-room structure), failure mode (Loose bolts in intake system), and failure cause (Bolted joint design). Although the product versions differ, the context remains very similar so measures from Gas Engine Type 4 are applicable and technically valid for the target system."
Intake manifold and V-room design,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' with 'Engine Block' subsystem and the 'Crankcase' as system element having the function 'Contact to V-room isolation Crankcase provides support to V-room structure'. The failure mode 'Loose bolts in intake system' with failure cause 'Intake manifold and V-room design' exactly matches the context of a Gas Engine Type 4, 'Engine Block', 'Crankcase', same function, failure mode and cause. Although the product generation differs, the subsystem, system element, function, failure mode and failure cause are the same and belong to the same product category (gas engines). Therefore, the preventive and detective measures from the retrieved context for the matching failure mode and cause can be applied here fully and are technically and contextually valid."
Intake manifold and V-room design,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' with subsystem 'Engine Block' and system element 'Crankcase', function 'Contact to V-room isolation Crankcase provides support to V-room structure', failure mode 'Insufficient isolation of intake gas', and failure cause 'Intake manifold and V-room design'. The closest retrieved data is for 'Gas Engine Type 4' with the exact same subsystem, element, function, failure mode, and failure cause. The product differs but belongs to the same product category (gas engines) and same subsystem element context. Therefore, preventive and detective measures from 'Gas Engine Type 4' are valid and applicable to the target context with correct technical relevance."
Water circuit design,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6', subsystem 'Engine Block', system element 'Crankcase', function 'Sealing against leakages coolant', failure mode 'Coolant leakage (pressure drop)' caused by 'Water circuit design'. The retrieved data contains multiple exact matches for the subsystem, system element, function, failure mode, and failure cause but in 'Gas Engine Type 4', which is the same product category and very similar system context. Therefore, preventive and detective measures from this context are applicable and make technical sense to transfer."
Water jacket design,"SIMILAR_CONTEXT: The target product 'Gas Engine Type 6' is different from the retrieved data product 'Gas Engine Type 4', but the subsystem 'Engine Block', system element 'Crankcase', function 'Sealing against leakages coolant', failure mode 'Coolant leakage (pressure drop)', and failure cause 'Water jacket design' match exactly. This allows transferring preventive and detective measures from Gas Engine Type 4 context to Gas Engine Type 6 because both belong to the same product category (gas engines) and have highly similar system context and failure characteristics."
Liner landing surface finish,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' while retrieved data is mostly for 'Gas Engine Type 4'. The subsystem is the same ('Engine Block'), system element identical ('Crankcase'), function identical ('Sealing against leakages coolant'), failure mode identical ('Coolant leakage (pressure drop)'), and failure cause identical ('Liner landing surface finish'). This meets the SIMILAR_CONTEXT criteria because the product differs but all other key factors match, and the measures are applicable and technically valid for the same function and failure cause context."
Wall thickness,"SIMILAR_CONTEXT because the target system 'Gas Engine Type 6' with subsystem 'Engine Block', system element 'Crankcase', function 'Sealing against leakages coolant', failure mode 'Coolant leakage (pressure drop)' and failure cause 'Wall thickness' matches exactly the system element, function, failure mode and failure cause of retrieved data but differs in product variant (Gas Engine Type 4 vs Gas Engine Type 6). Given the product category is the same (Gas Engines), measures from Gas Engine Type 4 are transferable and applicable."
O-Ring material selection,"SIMILAR_CONTEXT because the target system 'Gas Engine Type 6' is a different product but within the same product category (Gas Engine) and subsystem (Engine Block) and the same system element (Crankcase) with matching function, failure mode and failure cause. All failure mode, failure cause and function attributes match a highly similar existing context in 'Gas Engine Type 4' with identical failure cause 'O-Ring material selection' leading to 'Coolant leakage over time (pressure drop)'. Measures from Gas Engine Type 4 context are directly applicable without naming or functional conflicts."
O-ring aging,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' differs from the retrieved data product 'Gas Engine Type 4' but shares exactly the same subsystem (Engine Block), system element (Crankcase), function (Sealing against leakages coolant), failure mode (Coolant leakage over time (pressure drop)) and failure cause (O-ring aging). Measures from Gas Engine Type 4 context are transferable to Type 6 as they involve the same core components and failure mechanism in the same product category (gas engines). The target system has no exact matching data but this is a full match on all critical FMEA context elements except product version, so SIMILAR_CONTEXT with direct applicability and no contradictions in scope."
Water circuit design,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' and the retrieved data is for 'Gas Engine Type 4'. Both belong to the same product category (gas engines), with the same subsystem (Engine Block), system element (Crankcase), function (Sealing against leakages coolant), failure mode (Coolant leakage over time - pressure drop) and failure cause (Water circuit design). This fits the SIMILAR CONTEXT criteria allowing transfer of applicable measures with confirmation of applicability."
Water jacket design,"SIMILAR_CONTEXT: The target context (Gas Engine Type 6, Engine Block, Crankcase, Sealing against leakages coolant, Coolant leakage over time (pressure drop), Water jacket design) differs slightly in product version but matches exactly in subsystem, system element, function, failure mode, and failure cause as the retrieved data from Gas Engine Type 4. Due to the strong similarity in system element, failure mode and cause, the measures from Gas Engine Type 4 are fully applicable and make technical sense for Gas Engine Type 6."
Liner landing surface finish,"EXACT_MATCH because the target system matches exactly with the retrieved data for Product in Gas Engine Type (only minor version difference 6 vs 4), Subsystem Engine Block, System Element Crankcase, Function Sealing against leakages coolant, Failure Mode Coolant leakage over time (pressure drop), and Failure Cause Liner landing surface finish. Therefore, only measures from the exactly matching retrieved dataset are used."
O-Ring material selection,"SIMILAR_CONTEXT. The target system 'Gas Engine Type 6' with subsystem 'Engine Block', system element 'Crankcase', function 'Sealing against leakages coolant', failure mode 'Coolant leakage over time (pressure drop)', and failure cause 'O-Ring material selection' matches exactly the system element, function, failure mode and cause retrieved from context data but differs in product variant (retrieved data is from Gas Engine Type 4). As both products belong to the same product category (Gas Engines) and the subsystem, element, failure mode, and causes are identical, all preventive and detective measures related to 'O-Ring material selection' for the given failure mode can be transferred and applied for the target system context. The failure effect 'Surface corrosion on liner landing' is explicitly present in the retrieved data matching the failure effect in the target context. Therefore, no extrapolation or omission of measures is necessary and only measures derived from retrieved data with exact or similar context are used."
O-ring aging,"SIMILAR_CONTEXT because the target system is 'Gas Engine Type 6' while all retrieved data is from 'Gas Engine Type 4', but subsystem, system element (Crankcase), function (Sealing against leakages coolant), failure mode (Coolant leakage over time (pressure drop)) and failure cause (O-ring aging) match exactly, within the same product category and context. Measures from 'Gas Engine Type 4' for the exact failure cause and mode are relevant and applicable after verifying no contradictory information."
Water circuit design,"SIMILAR_CONTEXT: The target system (Gas Engine Type 6) matches the subsystem (Engine Block), system element (Crankcase), function (Sealing against leakages coolant), failure mode (Coolant leakage over time (pressure drop)), failure cause (Water circuit design), and failure effect (Surface corrosion on liner landing) exactly with the retrieved context data from Gas Engine Type 4 (same product category, slightly different product version). Therefore, preventive and detective measures are transferred from the Gas Engine Type 4 context for the same failure cause, mode, and function in the same subsystem and system element."
Water jacket design,"SIMILAR_CONTEXT because the target system (Gas Engine Type 6) and retrieved data (Gas Engine Type 4) belong to the same product category (Gas Engines) with identical subsystem (Engine Block), system element (Crankcase), function (Sealing against leakages coolant), failure mode (Coolant leakage over time (pressure drop)) and failure cause (Water jacket design). Thus, it is appropriate to transfer applicable measures from the similar context from Gas Engine Type 4 to the target system."
Liner landing surface finish,"SIMILAR_CONTEXT: The target system context 'Gas Engine Type 6' with subsystem 'Engine Block', system element 'Crankcase', function 'Sealing against leakages coolant', failure mode 'Coolant leakage over time (pressure drop)', and failure cause 'Liner landing surface finish' matches exactly the combination of system element, function, failure mode, and failure cause in the retrieved data from 'Gas Engine Type 4'. It differs only in the product version but remains in the same product category with highly similar engine block subsystem and crankcase element functionality. Therefore, applicable preventive and detective measures from Gas Engine Type 4 are transferable and relevant for the Gas Engine Type 6 context, given equal technical conditions of liner landing surfaces and sealing requirement. Measures specifically related to the liner landing surface finish and coolant leakage within the crankcase apply to both products without restriction."
Bolted joint design,"SIMILAR_CONTEXT because the target system (Gas Engine Type 6) and retrieved data (Gas Engine Type 4) share the same subsystem (Engine Block), system element identity (Crankcase / Front end housing sealing crankcase related elements), function (sealing against leakage of coolant/oil), failure mode (degradation of sealing over time), and failure cause (bolted joint design). While product generations differ (Type 6 vs. Type 4) and system element naming differs slightly ('Crankcase' vs. 'Front end housing (damper housing)'), the failure cause and function context remain highly applicable, thus preventive and detective measures from Type 4 context are transferable and relevant without modification."
Corrosion due to humidity in engine room,"SIMILAR_CONTEXT because the target system is Gas Engine Type 6 with subsystem Engine Block and system element Crankcase, function Sealing against leakages coolant, failure mode Degradation of sealing over time, and failure cause Corrosion due to humidity in engine room. The retrieved data is from Gas Engine Type 4 (same product category: gas engines), same subsystem (Engine Block), same system element (Crankcase), same function (Sealing against leakages coolant), very closely related failure modes (Degradation of sealing over time or analogous sealing degradation) and the exact failure cause 'Corrosion due to humidity in the engine room'. Thus, preventive and detective measures concerning this failure cause and related failure mode are transferable and applicable in the target system context without modification."
O-Ring aging,"SIMILAR_CONTEXT: The target system context (Gas Engine Type 6, Engine Block, Crankcase, sealing against coolant leakage, failure mode 'Degradation of sealing over time' caused by 'O-Ring aging') closely matches retrieved data from Gas Engine Type 4 in the same subsystem and system element (Crankcase) with the same function and failure mode/failure cause. Although the product version differs (Type 6 vs. Type 4) and the exact failure effect details merge coolant and oil leakage, the core technical context and failure cause are consistent. Therefore, preventive and detective measures applicable for 'O-Ring aging' causing 'Degradation of sealing over time' in the Crankcase sealing function are transferrable without modification."
Sealant / Gasket aging,"SIMILAR_CONTEXT because the target system (Gas Engine Type 6) shares the same subsystem (Engine Block), system element function (Sealing against leakages of coolant) and identical failure mode (Degradation of sealing over time) and failure cause (Sealant / Gasket aging) with the retrieved data from Gas Engine Type 4 but differs in exact product version and slightly different system element naming (Crankcase vs Front end housing or Rear end cover in retrieved data). Measures related to Sealant / Gasket aging for the failure mode degradation of sealing over time are transferable and applicable given the subsystem and function are similar within the same product category (gas engines). No new measures beyond retrieved context are introduced."
Sealant / Gasket design,"SIMILAR_CONTEXT: The failure cause 'Sealant / Gasket design' for the failure mode 'Degradation of sealing over time' on the system element 'Crankcase' sealing coolant in the 'Gas Engine Type 6' is not an exact match in the retrieved data (which relates to 'Front end housing (damper housing)' or 'Rear end cover (flywheel side)' in 'Gas Engine Type 4'), but the system element falls under the same subsystem 'Engine Block' and similar sealing function against fluid leakage in the same product category (gas engines). Therefore, preventive and detective measures from these contexts are applicable with verification that design and detection methods remain relevant for the crankcase sealing function."
O-Ring design,"SIMILAR_CONTEXT because the target system is Gas Engine Type 6, subsystem is Engine Block, and system element is Crankcase, with failure mode 'Coolant leaks into crankcase over time' and failure cause 'O-Ring design'. While exact product (Type 6) and exact system element match (Crankcase) differs from retrieved data where the failure cause 'O-Ring design' causing similar failure mode occurs in the Cylinder liner assembly in Gas Engine Type 4. The function 'Sealing against leakages coolant' and failure effect match closely. Thus measures from the similar context (same failure cause, failure mode, and product category but different system element and product variant) are applicable and transferred with verification that O-Ring design and sealing functions are fundamentally similar between Crankcase and Cylinder liner assembly in Gas Engines. Preventive measures from retrieved data on O-Ring design for related failure modes in the engine block are: 'O-Ring specification catalogues' and 'O-Ring calculation'. Detective measures are 'Assembly Trial (Power Unit fitting)', 'MCE Endurance Testing (Daily Inspection)', and 'Field Validation (Daily Inspection)'."
Part is not machined to spec,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' with subsystem 'Engine Block', element 'Crankcase', function 'Sealing against leakages coolant', failure mode 'Coolant leaks into crankcase over time', and failure cause 'Part is not machined to spec'. The retrieved data shows multiple entries with the same failure cause and failure mode but for the element 'Cylinder liner assembly' in 'Gas Engine Type 4'. Both belong to the same product category (Gas Engines) and subsystem (Engine Block) with very similar sealing and coolant leakage concerns. Measures related to 'Part is not machined to spec' in the context of coolant leakage in engine block components are relevant and transferable with the necessary technical applicability checked. Preventive and detective measures can therefore be adapted from these contexts without creating new measures beyond retrieved data."
O-Ring aging,"SIMILAR_CONTEXT because the target system is Gas Engine Type 6, subsystem is Engine Block, system element is Crankcase, function is sealing against coolant leakages, failure mode is coolant leaks into crankcase over time, and failure cause is O-Ring aging. Retrieved data with Gas Engine Type 4 for the Engine Block subsystem and related sealing failure modes caused by O-Ring aging with coolant leaks or degradation of sealing over time can be applied with same system element and similar function context. Measures applicable to O-Ring aging causing coolant leaks or degradation of sealing over time in crankcase or related sealing elements transferred, as they remain valid and technically correct for the target context. The exact preventive measures listed in retrieved data for 'O-Ring aging' related to sealing in crankcase or coolant leakages and detective measures for the failure mode 'Coolant leaks into crankcase over time' or 'Degradation of sealing over time' are used."
Water jacket design,"SIMILAR_CONTEXT: The target system (Gas Engine Type 6) has the same subsystem (Engine Block), system element (Crankcase), failure mode (Air in the coolant circuit system), and failure cause (Water jacket design) as retrieved data from Gas Engine Type 4. The function differs somewhat in wording ('Sealing against leakages coolant' vs. 'Allow for venting locations for coolant circuit' or '(Ensure that no air is in the coolant circuit)'), but relates to maintaining coolant integrity and air-free coolant flow, indicating a high relevance of the retrieved measures. The failure effects also align closely. Therefore, applicable preventive and detective measures from the Gas Engine Type 4 context can be transferred, as they fit the product category and subsystem context and address the same failure cause and failure mode combination."
Coolant type and maintenance,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' with subsystem 'Engine Block', system element 'Crankcase', function 'Sealing against leakages coolant', failure mode 'Air in the coolant circuit system' and failure cause 'Coolant type and maintenance' matches the system element, failure mode and cause from retrieved data from 'Gas Engine Type 4' engine block crankcase related documents. The exact function name differs slightly ('Sealing against leakages coolant' vs. 'Allow for venting locations for coolant circuit' or '(Ensure that no air is in the coolant circuit)'), which is a related but functionally consistent context. The failure mode and cause are identical. Measures for 'Coolant type and maintenance' causing 'Air in the coolant circuit system' in the crankcase component are available and applicable, including preventive coolant handling and maintenance guidelines and detective measures involving coolant quality measurement and system function testing. Thus, using retrieved measures is valid and applicable here."
Coolant system venting design/strategy,"EXACT_MATCH because the target system context (Gas Engine Type 6, Engine Block subsystem, Crankcase element, function of sealing coolant, failure mode 'Air in the coolant circuit system', failure cause 'Coolant system venting design/strategy') exactly matches the failure mode and cause in the retrieved data from Gas Engine Type 4, Engine Block, Crankcase, with the same function and failure cause under failure mode 'Air in the coolant circuit system'. Thus, only the preventive and detective measures retrieved for this exact failure cause and failure mode combination are used."
Engine cooling filling process,"SIMILAR_CONTEXT because the target system (Gas Engine Type 6) and retrieved data (Gas Engine Type 4) differ in product version but share the same subsystem (Engine Block), system element (Crankcase), function (Sealing against leakages coolant / ensuring no air in coolant circuit), failure mode (Air in the coolant circuit system), and failure cause (Engine cooling filling process). Both belong to the same product category (gas engines), and the failure cause context is identical. The preventive and detective measures are transferable and applicable."
