failure_cause,analysis_decision
Coolant flow route design (geometry & material) | Water jacket design,"EXACT_MATCH: The target system context matches exactly with retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Transmit heat to water jacket', Failure Mode 'Too less heat transmission / High liner wall temperature', and Failure Cause 'Coolant flow route design (geometry & material) | Water jacket design'. Hence, only the retrieved context data specific to this combination is applied for measure generation."
Coolant system pressure,"EXACT_MATCH because the target system context exactly matches retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Transmit heat to water jacket', Failure Mode 'Too less heat transmission / High liner wall temperature', and Failure Cause 'Coolant system pressure'. Measures are taken directly from this exact context."
Temperature of coolant too high,"EXACT_MATCH as the target system context matches exactly with the retrieved context in terms of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Transmit heat to water jacket), Failure Mode (Too less heat transmission / High liner wall temperature), and Failure Cause (Temperature of coolant too high). Measures are generated only from the exact matching retrieved context data without extrapolation."
"Liner design (geometry, material etc.)","EXACT_MATCH because the target system context matches exactly the retrieved data on Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Transmit heat to water jacket', Failure Mode 'Too less heat transmission / High liner wall temperature', and Failure Cause 'Liner design (geometry, material etc.)'. Preventive and detective measures are taken only from the retrieved context data with this exact combination."
Coolant flow route design (geometry & material) | Water jacket design,"EXACT_MATCH: The target system context (Gas Engine Type 4, Engine Block, Cylinder liner assembly, Transmit heat to water jacket, Failure Mode: Too less heat transmission / High liner wall temperature over time, Failure Cause: Coolant flow route design (geometry & material) | Water jacket design) exactly matches multiple retrieved context data entries. These entries include specifically aligned preventive and detective measures for this precise failure cause and failure mode within the same product, subsystem, system element, and function. Therefore, only the retrieved data directly corresponding to this exact combination are used, ensuring technical correctness and direct applicability without transfer or deduction from other contexts."
Coolant system pressure,"EXACT_MATCH because the target context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Cylinder liner assembly, Function: Transmit heat to water jacket, Failure Mode: Too less heat transmission / High liner wall temperature over time, Failure Cause: Coolant system pressure) exactly matches retrieved data with corresponding preventive and detective measures defined within the same product and subsystem context."
Coolant aging,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Transmit heat to water jacket), Failure Mode (Too less heat transmission / High liner wall temperature over time) and Failure Cause (Coolant aging). The measures are taken directly from the retrieved context data."
Wrong coolant maintenance,"EXACT_MATCH because the target system context matches exactly with retrieved context data on Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Transmit heat to water jacket), Failure Mode (Too less heat transmission / High liner wall temperature over time), and Failure Cause (Wrong coolant maintenance). Measures are directly available from the exact matching data."
Temperature of coolant too high,"EXACT_MATCH because the target context exactly matches the retrieved data in product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), function (Transmit heat to water jacket), failure mode (Too less heat transmission / High liner wall temperature over time), and failure cause (Temperature of coolant too high)."
"Liner design (geometry, material etc.)","EXACT_MATCH based on full match of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Transmit heat to water jacket), Failure Mode (Too less heat transmission / High liner wall temperature over time) and Failure Cause (Liner design (geometry, material etc.)). The retrieved data contains explicitly listed preventive and detective measures for this exact context."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH: The target context exactly matches multiple retrieved entries with identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Provide structural support to APR), Failure Mode (High THC emissions over time), and Failure Cause (Geometry tolerances / wrong tolerance specification). The preventive and detective measures are explicitly available for this exact match and thus must be used strictly from the retrieved data without extrapolation."
"Liner design (geometry, material etc.)","EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Cylinder liner assembly, Provide structural support to APR, with failure mode High THC emissions over time and failure cause Liner design (geometry, material etc.)) matches exactly with multiple retrieved context entries providing detailed preventive and detective measures specific to this context."
APR design,"EXACT_MATCH - The target system context 'Gas Engine Type 4' with Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Provide structural support to APR', Failure Mode 'High THC emissions over time' and Failure Cause 'APR design' matches exactly with multiple retrieved entries that have both preventive and detective measures explicitly listed. Therefore, only measures from these exact matches in the retrieved data are used."
Gasket design,"EXACT_MATCH because the target system context perfectly matches the retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Provide structural support to APR', Failure Mode 'High THC emissions over time', and Failure Cause 'Gasket design'. Relevant preventive and detective measures are explicitly provided in the retrieved context data."
Wrong maintenance,"EXACT_MATCH: The retrieved context data contains multiple exact matches for the target system with identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Provide structural support to APR), Failure Mode (High THC emissions over time), and Failure Cause (Wrong maintenance). Both preventive and detective measures are directly available from the exact matching entries."
Deposit build up (oil),"EXACT_MATCH because the target context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Cylinder liner assembly, Function: Provide structural support to APR, Failure Mode: High THC emissions over time, Failure Cause: Deposit build up (oil)) exactly matches multiple entries in the retrieved context data with provided preventive and detective measures."
"['Geometry tolerances / wrong tolerance specification', 'Liner design (geometry, material etc.)', 'APR design', 'Gasket design', 'Wrong maintenance', 'Deposit build up (oil)']","EXACT_MATCH based on same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Sealing between cylinder gasket and liner), Failure Mode (High THC emissions over time), and Failure Causes match exactly those in the retrieved context data, allowing direct use of provided measures."
"['Bolted joint design', 'Assembly process / Design for assembly', 'Liner design (geometry, material etc.)', 'Gasket design', 'Wrong maintenance']","EXACT_MATCH based on same product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), function (Sealing between cylinder gasket and liner), failure mode (Leakage of combustion gases) and failure causes ('Bolted joint design', 'Assembly process / Design for assembly', 'Liner design (geometry, material etc.)', 'Gasket design', 'Wrong maintenance') found exactly matching retrieved data."
"['Bolted joint design', 'Geometry tolerances / wrong tolerance specification', 'Assembly process / Design for assembly', 'Part is not machined to spec', 'Liner design (geometry, material etc.)', 'Gasket design', 'Wrong maintenance']","EXACT_MATCH: The provided target system context exactly matches the retrieved context data for the 'Gas Engine Type 4' product, 'Engine Block' subsystem, 'Cylinder liner assembly' system element, with the failure mode 'Insufficient contact between gasket and liner' caused by all the listed failure causes. The retrieved data contains detailed preventive and detective measures specifically addressing each failure cause in the exact same functional and failure mode context. Therefore, only these exact retrieved measures are used without adaptation or transfer."
"['Liner landing design (geometry, roughness, etc.)', 'Bolted joint design', 'Geometry tolerances / wrong tolerance specification', 'Assembly process / Design for assembly', 'Part is not machined to spec', 'Gasket design', 'Wrong maintenance']","EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Cylinder liner assembly, function sealing between cylinder gasket and liner, failure mode insufficient contact between head and gasket, and all listed failure causes) precisely matches retrieved data with relevant preventive and detective measures documented in the context."
Bolted joint design,"EXACT_MATCH based on exact matching of Product ('Gas Engine Type 4'), Subsystem ('Engine Block'), System Element ('Cylinder liner assembly'), Function ('Provide load path from CH to crankcase'), Failure Mode ('Insufficient contact between gasket and liner') and Failure Cause ('Bolted joint design'). Measures are directly retrieved from the exact context data."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Provide load path from CH to crankcase), Failure Mode (Insufficient contact between gasket and liner), and Failure Cause (Geometry tolerances / wrong tolerance specification). The retrieved context provides multiple preventive and detective measures explicitly for this failure cause within the exact system context."
Assembly process / Design for assembly,"EXACT_MATCH because the target system context exactly matches retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Provide load path from CH to crankcase), Failure Mode (Insufficient contact between gasket and liner), and Failure Cause (Assembly process / Design for assembly). Measures are directly available in the retrieved context."
Part is not machined to spec,"EXACT_MATCH: The retrieved data contains multiple exact matches for the provided target system context, including the same product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), function (Provide load path from CH to crankcase), failure mode (Insufficient contact between gasket and liner), and failure cause (Part is not machined to spec). Therefore, only the retrieved measures from this exact context are used for measure generation."
"Liner design (geometry, material etc.)","EXACT_MATCH because the Target system context exactly matches the Product, Subsystem, System Element, Function, Failure Mode and Failure Cause in the retrieved data. Measures are derived only from this precise context without extension to other failure causes, modes, or related elements."
Gasket design,"EXACT_MATCH: The target context exactly matches the retrieved data for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Cylinder liner assembly, Function: Provide load path from CH to crankcase, Failure Mode: Insufficient contact between gasket and liner, Failure Cause: Gasket design. Measures are taken solely from the retrieved context data applying to this exact context without modification."
Wrong maintenance,"EXACT_MATCH based on exact match of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Provide load path from CH to crankcase), Failure Mode (Insufficient contact between gasket and liner), and Failure Cause (Wrong maintenance). Measures are taken directly from retrieved RAG data with matching context."
"Liner landing design (geometry, roughness, etc.)","EXACT_MATCH because the target system context matches exactly with retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Provide load path from CH to crankcase', Failure Mode 'Insufficient contact between head and gasket', and Failure Cause 'Liner landing design (geometry, roughness, etc.)'. All preventive and detective measures provided are explicitly aligned with this exact context."
Bolted joint design,"EXACT_MATCH based on full matching records for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Provide load path from CH to crankcase', Failure Mode 'Insufficient contact between head and gasket', and Failure Cause 'Bolted joint design'. Retrieved data includes multiple explicit preventive and detective measures directly applicable to the target system context."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH because the target context (Gas Engine Type 4, Engine Block subsystem, Cylinder liner assembly element, function Provide load path from CH to crankcase, failure mode Insufficient contact between head and gasket, failure cause Geometry tolerances / wrong tolerance specification) exactly matches multiple retrieved entries including preventive and detective measures."
Assembly process / Design for assembly,"EXACT_MATCH because the target failure cause 'Assembly process / Design for assembly' in the system element 'Cylinder liner assembly', function 'Provide load path from CH to crankcase', failure mode 'Insufficient contact between head and gasket' within the 'Gas Engine Type 4' and 'Engine Block' subsystem perfectly matches the retrieved context data. Applicable preventive and detective measures are explicitly provided in the retrieved data."
Part is not machined to spec,"EXACT_MATCH because the retrieved context data exactly matches the target system context including product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), function (Provide load path from CH to crankcase), failure mode (Insufficient contact between head and gasket), and failure cause (Part is not machined to spec). Therefore, only the preventive and detective measures from this exact context are used."
Gasket design,"EXACT_MATCH because the target system context matches exactly the retrieved context data in product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), function (Provide load path from CH to crankcase), failure mode (Insufficient contact between head and gasket), failure cause (Gasket design), and failure effect (Combustion gas is exiting (combustion chamber)). Measures are directly from context data matching this exact combination."
Wrong maintenance,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Cylinder liner assembly, Function: Provide load path from CH to crankcase, Failure Mode: Insufficient contact between head and gasket, Failure Cause: Wrong maintenance) exactly matches entries in the retrieved context, allowing the use of preventive and detective measures from this precise match without extrapolation."
"Liner landing design (geometry, roughness, etc.)","EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Cylinder liner assembly, function Provide load path from CH to crankcase, failure mode Insufficient contact between liner and crankcase, failure cause Liner landing design (geometry, roughness, etc.)) exactly matches multiple retrieved data entries with preventive and detective measures for the same failure cause and failure mode in the same product and subsystem context."
Bolted joint design,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Provide load path from CH to crankcase), Failure Mode (Insufficient contact between liner and crankcase), and Failure Cause (Bolted joint design). Retrieved data directly address this exact combination."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH based on exact match of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Provide load path from CH to crankcase), Failure Mode (Insufficient contact between liner and crankcase), and Failure Cause (Geometry tolerances / wrong tolerance specification) with retrieved data from GRAPH QUERY and detailed data from the relevant DOCUMENTS."
Assembly process / Design for assembly,"EXACT_MATCH based on identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), function (Provide load path from CH to crankcase), failure mode (Insufficient contact between liner and crankcase) and failure cause (Assembly process / Design for assembly). Measures are taken strictly from retrieved context with same exact context."
Part is not machined to spec,"EXACT_MATCH based on full context matching: The target system context is an exact match with retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Provide load path from CH to crankcase', Failure Mode 'Insufficient contact between liner and crankcase', and Failure Cause 'Part is not machined to spec'. Therefore, all relevant measures from this exact match data are applied exclusively per the FMEA standard instructions."
"Liner design (geometry, material etc.)","EXACT_MATCH based on identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), function (Provide load path from CH to crankcase), failure mode (Insufficient contact between liner and crankcase), and failure cause (Liner design (geometry, material etc.)) found in retrieved context. Measures are directly transferred without modification."
Wrong maintenance,"EXACT_MATCH because the target system context matches exactly the retrieved data in product, subsystem, system element, function, failure mode, and failure cause: 'Gas Engine Type 4', 'Engine Block', 'Cylinder liner assembly', 'Provide load path from CH to crankcase', failure mode 'Insufficient contact between liner and crankcase', and failure cause 'Wrong maintenance'."
Crankcase design,"EXACT_MATCH: The retrieved context data includes exact matches for the target system context in product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), function (Provide load path from CH to crankcase), failure mode (Insufficient contact between liner and crankcase), and failure cause (Crankcase design). Several preventive measures and detective measures are provided specifically for this exact context with no ambiguity, so only these measures are used."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH, because the target system context matches exactly the retrieved context data in product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), function (Guidance for power unit), failure mode (Adverse piston motion over time), and failure cause (Geometry tolerances / wrong tolerance specification)."
Assembly process / Design for assembly,"EXACT_MATCH because the retrieved context contains entries for the same Product ('Gas Engine Type 4'), Subsystem ('Engine Block'), System Element ('Cylinder liner assembly'), Function ('Guidance for power unit'), Failure Mode ('Adverse piston motion over time') and Failure Cause ('Assembly process / Design for assembly'), thus exact relevant preventive and detective measures are available and should be applied."
Part is not machined to spec,"EXACT_MATCH: The target failure context exactly matches retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Guidance for power unit', Failure Mode 'Adverse piston motion over time', and Failure Cause 'Part is not machined to spec'. Measures are taken directly from the retrieved context without modification."
"Liner design (geometry, material etc.)","EXACT_MATCH because the Product, Subsystem, System Element, Function, Failure Mode, and Failure Cause all match exactly between the target system context and the retrieved context data."
Wrong maintenance,"EXACT_MATCH based on exact match of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Guidance for power unit), Failure Mode (Adverse piston motion over time), and Failure Cause (Wrong maintenance). Retrieved context data provides multiple preventive and detective measures specifically for this failure cause and context."
Deposit build up (oil),"EXACT_MATCH because the retrieved context data includes the exact same Product ('Gas Engine Type 4'), Subsystem ('Engine Block'), System Element ('Cylinder liner assembly'), Function ('Guidance for power unit'), Failure Mode ('Adverse piston motion over time'), Failure Cause ('Deposit build up (oil)') with matching failure effect ('Engine stop because of engine damage'). Thus, only the preventive and detective measures from this exact match context are applied."
Crankcase design,"EXACT_MATCH: The target system context matches exactly with retrieved data entries in Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Guidance for power unit', Failure Mode 'Adverse piston motion over time', and Failure Cause 'Crankcase design'. Therefore, only measures from retrieved context with the same exact match are used."
Liner honing,"EXACT_MATCH because the target context matches exactly the Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Guidance for power unit), Failure Mode (Adverse piston motion over time), and Failure Cause (Liner honing) in the retrieved data."
Piston offset,"EXACT_MATCH: The target system context matches exactly the retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Guidance for power unit', Failure Mode 'Adverse piston motion over time', and Failure Cause 'Piston offset'. Measures are taken directly from exact matching context data without modification."
Liner surface wear,"EXACT_MATCH because the target system context matches exactly the retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Guidance for power unit', Failure Mode 'Adverse piston motion over time', and Failure Cause 'Liner surface wear'. Measures are based solely on this exact context data."
Particles in combustion chamber,"EXACT_MATCH based on identical context of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Guidance for power unit), Failure Mode (Adverse piston motion over time), and Failure Cause (Particles in combustion chamber). The retrieved data contains direct preventive and detective measures for this exact failure cause and failure mode combination without ambiguity."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH because the target system context exactly matches the retrieved data in terms of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Guidance for power unit), Failure Mode (Adverse piston motion), and Failure Cause (Geometry tolerances / wrong tolerance specification). The retrieved context provides direct preventive and detective measures for this failure cause and mode without variations."
Assembly process / Design for assembly,"EXACT_MATCH because the target context matches exactly with retrieved data for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Cylinder liner assembly, Function: Guidance for power unit, Failure Mode: Adverse piston motion, and Failure Cause: Assembly process / Design for assembly. Specific preventive and detective measures were found in the retrieved data matching this exact context."
"Liner design (geometry, material etc.)","EXACT_MATCH - The target system context (Gas Engine Type 4, Engine Block subsystem, Cylinder liner assembly, Function 'Guidance for power unit', Failure Mode 'Adverse piston motion', Failure Cause 'Liner design (geometry, material etc.)') exactly matches retrieved data entries for both 'Adverse piston motion' and 'Adverse piston motion over time'. Measures provided correspond specifically to this combination without any naming or subsystem variation."
APR design,"EXACT_MATCH because the target context exactly matches retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Guidance for power unit), Failure Mode (Adverse piston motion), and Failure Cause (APR design). Relevant measures are directly retrievable from the context data."
Wrong maintenance,"EXACT_MATCH: The retrieved data contains multiple exact context matches for the target system ('Gas Engine Type 4'), subsystem ('Engine Block'), system element ('Cylinder liner assembly'), function ('Guidance for power unit'), failure mode ('Adverse piston motion'), and failure cause ('Wrong maintenance'). Preventive measures and detective measures directly addressing 'Wrong maintenance' causing 'Adverse piston motion' on the Cylinder liner assembly in the Engine Block subsystem are available. Therefore, only the retrieved exact match data measures are used consistent with the FMEA standards."
Crankcase design,"EXACT_MATCH: The target system context exactly matches retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Guidance for power unit), Failure Mode (Adverse piston motion), and Failure Cause (Crankcase design). Therefore, only preventive and detective measures from the exact matching context are used."
Liner honing,"EXACT_MATCH: The target system context for the failure cause 'Liner honing' within 'Cylinder liner assembly' causing 'Adverse piston motion' in 'Gas Engine Type 4' exactly matches retrieved context data with the same product, subsystem, system element, function, failure mode, and failure cause. Thus, only measures from retrieved context are used."
Piston offset,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Cylinder liner assembly, Guidance for power unit, Adverse piston motion, Piston offset) matches exactly with multiple retrieved data entries. The failure mode is given both as 'Adverse piston motion' and 'Adverse piston motion over time', which are considered sufficiently equivalent here as per retrieved context. Therefore, only the measures from the exact matching context are used."
"Liner landing design (geometry, roughness, etc.)","EXACT_MATCH because the target context matches exactly the 'Gas Engine Type 4' product, 'Engine Block' subsystem, 'Cylinder liner assembly' system element, function 'Absorption of piston loads', failure mode 'Excessive liner deformation' and failure cause 'Liner landing design (geometry, roughness, etc.)' as present in the retrieved data."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH: The target system context exactly matches the retrieved data on Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Absorption of piston loads), Failure Mode (Excessive liner deformation), and Failure Cause (Geometry tolerances / wrong tolerance specification). Therefore, only preventive and detective measures directly retrieved for this exact context are used."
"Transient engine operation (start up, cool down)","EXACT_MATCH because the target system context fully matches retrieved context data exactly with Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Absorption of piston loads', Failure Mode 'Excessive liner deformation', and Failure Cause 'Transient engine operation (start up, cool down)'. Measures are taken directly from the retrieved data without alteration."
Part is not machined to spec,"EXACT_MATCH because there is retrieved context data that matches exactly the target system context: same Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Absorption of piston loads', Failure Mode 'Excessive liner deformation', and Failure Cause 'Part is not machined to spec'. Both preventive and detective measures are available for the exact combination in the retrieved data."
"Liner design (geometry, material etc.)","EXACT_MATCH because the target system context matches exactly with retrieved data for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Cylinder liner assembly, Function: Absorption of piston loads, Failure Mode: Excessive liner deformation, and Failure Cause: Liner design (geometry, material etc.). The retrieved context provides multiple preventive measures and corresponding detective measures for this exact failure cause within the exact failure mode and system element."
Crankcase design,"EXACT_MATCH because the target system context for failure cause 'Crankcase design' causing 'Excessive liner deformation' in the 'Cylinder liner assembly' of 'Gas Engine Type 4' matches exactly with retrieved context data including the same product, subsystem, system element, function, failure mode and failure cause."
Piston offset,"EXACT_MATCH due to identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), function (Absorption of piston loads), failure mode (Excessive liner deformation), and failure cause (Piston offset). Measures derived strictly from retrieved context matching these criteria."
Liner surface wear,"EXACT_MATCH: The target system context (Gas Engine Type 4, Engine Block, Cylinder liner assembly, Absorption of piston loads, Excessive liner deformation, Liner surface wear) exactly matches multiple retrieved context data records with the same product, subsystem, system element, function, failure mode, and failure cause, providing specific preventive and detective measures directly applicable."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH because the target system context is for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Absorption of piston loads' (very close to 'Guidance for power unit' in retrieved data for the liner assembly), Failure Mode 'Adverse piston motion', and Failure Cause 'Geometry tolerances / wrong tolerance specification' which exactly matches entries in the retrieved context data."
Assembly process / Design for assembly,"SIMILAR_CONTEXT: The target system context (Gas Engine Type 4, Engine Block, Cylinder liner assembly, Function: Absorption of piston loads, Failure Mode: Adverse piston motion, Failure Cause: Assembly process / Design for assembly) does not have an exact match in the retrieved data for exactly the same function ('Absorption of piston loads'), but there are multiple closely related contexts with the same product, subsystem, system element, failure mode and failure cause but with a very similar function 'Guidance for power unit' and failure mode 'Adverse piston motion' or 'Adverse piston motion over time'. Hence, we apply the measures from these similar contexts in the same product category and identical system elements and failure cause/mode combination because they are technically relevant and applicable to the 'Absorption of piston loads' function of the Cylinder liner assembly in a Gas Engine. Other failure causes or different system elements do not apply. Detective measures mentioning 'Assembly Trial (Power Unit fitting)' and preventive '3D Model analysis' from these similar contexts are valid and fit the measure requirements."
Part is not machined to spec,"SIMILAR_CONTEXT because the target system context specifies 'Gas Engine Type 4', subsystem 'Engine Block', system element 'Cylinder liner assembly', function 'Absorption of piston loads', failure mode 'Adverse piston motion', and failure cause 'Part is not machined to spec'; the retrieved data matches the product, subsystem, system element and failure cause/exact failure mode or very closely related failure modes (e.g., 'Adverse piston motion' and 'Adverse piston motion over time'), but the function is slightly different ('Absorption of piston loads' vs. 'Guidance for power unit'), hence preventive and detective measures from closely related failure modes/functions within the same system element and product are applicable and transferred appropriately."
"Liner design (geometry, material etc.)","EXACT_MATCH: The target system context (Gas Engine Type 4, Engine Block, Cylinder liner assembly, Function: Absorption of piston loads, Failure Mode: Adverse piston motion, Failure Cause: Liner design (geometry, material etc.)) closely matches retrieved data entries. Although most retrieved entries describe the function as 'Guidance for power unit' instead of exactly 'Absorption of piston loads', these are functionally equivalent or so closely related within the Cylinder liner assembly context. The failure mode 'Adverse piston motion' and failure cause 'Liner design (geometry, material etc.)' match exactly. Therefore, preventive and detective measures related to these from the retrieved data are applicable without modification, fully respecting the requirement not to generate new measures and only use retrieved data."
APR design,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Cylinder liner assembly, Function: Absorption of piston loads, Failure Mode: Adverse piston motion, Failure Cause: APR design) exactly matches retrieved data entries with identical Product, Subsystem, System Element, Failure Mode, and Failure Cause. The retrieved preventive measures and detective measures associated specifically with this failure cause and failure mode within the Cylinder liner assembly are used without adding or extrapolating from other contexts."
Wrong maintenance,"EXACT_MATCH because the target system context ('Gas Engine Type 4', 'Engine Block' subsystem, 'Cylinder liner assembly' element, function 'Absorption of piston loads', failure mode 'Adverse piston motion', failure cause 'Wrong maintenance') exactly matches retrieved context data that refer to the same product, subsystem, system element, function (closely aligned as 'Guidance for power unit' which is functionally similar in piston load absorption), failure mode, and failure cause. Preventive and detective measures are directly available from retrieved data."
Crankcase design,"EXACT_MATCH: The target context perfectly matches the retrieved data with identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Absorption of piston loads), Failure Mode (Adverse piston motion), and Failure Cause (Crankcase design). Preventive and detective measures are directly available from the retrieved context specific to this exact match."
Liner honing,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Absorption of piston loads closely related to Guidance for power unit), Failure Mode (Adverse piston motion) and Failure Cause (Liner honing) in retrieved context data. The retrieval includes exact failure cause 'Liner honing' linked to failure mode 'Adverse piston motion' and 'Adverse piston motion over time' with clear preventive and detective measures directly addressing failure cause and failure mode respectively."
Piston offset,"SIMILAR_CONTEXT: The target context has an exact match for Product (Gas Engine Type 4), Subsystem (Engine Block), and System Element (Cylinder liner assembly), but the Function differs ('Absorption of piston loads' vs 'Guidance for power unit'). The Failure Mode matches closely ('Adverse piston motion' vs 'Adverse piston motion over time') and Failure Cause is exactly 'Piston offset'. Given function similarity as close with same element and failure cause/mode, preventive and detective measures for 'Adverse piston motion over time' with cause 'Piston offset' from the exact product and system can be transferred and applied to the target context, as these measures technically address the root cause (piston offset) affecting piston motion that impacts absorption of piston loads. No contradictory measures or context conflicts exist."
Deposit build up (oil),"EXACT_MATCH based on exact match of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), Function (Absorption of piston loads equivalent to Guidance for power unit), Failure Mode (Adverse piston motion over time), and Failure Cause (Deposit build up (oil)) found in retrieved context data with direct relevant preventive and detective measures available."
Liner surface wear,"EXACT_MATCH because the target system context matches exactly with retrieved data on the Gas Engine Type 4, Engine Block subsystem, Cylinder liner assembly system element, function related to piston guidance/absorption, failure mode 'Adverse piston motion over time', and failure cause 'Liner surface wear'."
Particles in combustion chamber,"EXACT_MATCH based on exact match: Product Gas Engine Type 4, Subsystem Engine Block, System Element Cylinder liner assembly, Function Absorption of piston loads (approx. same as Guidance for power unit), Failure Mode Adverse piston motion over time, Failure Cause Particles in combustion chamber matches exactly retrieved data."
Wrong maintenance,"EXACT_MATCH: The target context matches exactly with retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly', Function 'Absorption of piston loads' (matches closely to 'Guidance for power unit' which is functionally equivalent), Failure Mode 'Adverse piston motion over time', and Failure Cause 'Wrong maintenance'. Preventive and detective measures listed match exactly the failure cause and failure mode in the retrieved context data."
